Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
540,2009,NBA,1,2,MEM,Hasheem Thabeet,22.135,C,tz,University of Connecticut,2010.0,2014.0,224.0,10.5,2.2,2.7,0.1,0.3,0.8,0.567,0.567,,0.578,4.8,0.099
541,2009,NBA,1,25,OKC,Rodrigue Beaubois,21.127,G,gp,,2010.0,2013.0,182.0,15.9,7.1,1.9,2.1,0.7,0.3,0.439,0.5,0.325,0.81,4.8,0.079
542,2015,NBA,1,30,GSW,Kevon Looney,19.144,F-C,us,"University of California, Los Angeles",2016.0,2019.0,130.0,11.4,3.5,2.9,0.6,0.4,0.6,0.568,0.584,0.25,0.597,4.8,0.157
543,2000,NBA,1,22,NYK,Donnell Harvey,19.311,F,us,University of Florida,2001.0,2005.0,205.0,16.2,5.6,4.0,0.8,0.5,0.4,0.46,0.464,0.1,0.659,4.7,0.069
544,2009,NBA,2,52,IND,A.J. Price,22.267,G,us,University of Connecticut,2010.0,2015.0,261.0,15.1,5.8,1.4,2.2,0.5,0.0,0.38,0.439,0.316,0.742,4.7,0.058
545,2012,NBA,1,5,SAC,Thomas Robinson,21.109,F,us,University of Kansas,2013.0,2017.0,313.0,13.4,4.9,4.8,0.6,0.5,0.4,0.47,0.472,0.0,0.505,4.6,0.053
546,2017,NBA,1,22,BRK,Jarrett Allen,19.067,F-C,us,University of Texas at Austin,2018.0,2019.0,77.0,20.5,8.4,5.6,0.7,0.4,1.3,0.59,0.602,0.35,0.756,4.6,0.139
547,2004,NBA,1,16,UTA,Kirk Snyder,21.025,G,us,"University of Nevada, Reno",2005.0,2008.0,211.0,16.8,6.3,2.3,1.1,0.4,0.3,0.438,0.475,0.327,0.699,4.5,0.061
548,2004,NBA,2,37,ATL,Royal Ivey,22.192,G,us,University of Texas at Austin,2005.0,2014.0,492.0,12.5,3.3,1.1,1.0,0.5,0.1,0.406,0.425,0.361,0.706,4.5,0.035
549,2009,NBA,1,15,DET,Austin Daye,21.025,F,us,Gonzaga University,2010.0,2015.0,293.0,14.1,5.2,2.6,0.7,0.4,0.4,0.402,0.433,0.351,0.778,4.5,0.053
550,2009,NBA,2,40,CHA,Derrick Brown,21.296,F,us,Xavier University,2010.0,2012.0,171.0,14.9,5.2,2.4,0.7,0.5,0.2,0.515,0.528,0.317,0.637,4.5,0.085
